,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
479,Dancing Shoes,Green River Ordinance,The Morning Passengers EP - Acoustic Sessions,9,229389,2010-09-06,1,0.594,0.415,7,-6.99,1,0.0277,0.141,1.58e-06,0.105,0.205,138.032,4,country
480,Swimming Alone,Liz Rose,Swimming Alone,48,220275,2017-05-12,5,0.572,0.493,2,-6.859,1,0.0295,0.493,4.48e-06,0.0817,0.171,160.067,4,country
481,Louise,Mipso,Dark Holler Pop,9,266997,2013-10-26,3,0.639,0.381,10,-9.428,1,0.0321,0.768,2.25e-06,0.214,0.489,89.897,4,country
482,Nowhere Fast,Old Dominion,Meat and Candy,63,188960,2015-11-06,6,0.788,0.488,7,-7.319,1,0.0286,0.46,4.52e-06,0.0751,0.48,101.974,4,country
483,It'll Work Itself Out,Donovan Woods,They Are Going Away,53,182805,2017-03-03,2,0.625,0.432,5,-12.19,1,0.0313,0.108,0.00304,0.0995,0.538,98.002,4,country
484,Old Time's Sake,Charlie Worsham,Old Time's Sake,43,202840,2017-01-27,1,0.476,0.182,4,-16.375,1,0.038,0.884,0.00086,0.112,0.146,88.592,4,country
485,Cheap Suit,Jeffrey Foucault,Blood Brothers,51,158960,2018-06-22,6,0.502,0.0596,3,-16.977,1,0.0361,0.928,2.66e-05,0.125,0.317,133.168,4,country
486,The Time I've Wasted,Lori McKenna,Numbered Doors,59,213249,2014-09-23,1,0.473,0.25,5,-11.263,1,0.0304,0.796,8.83e-05,0.101,0.261,145.027,4,country
487,If We Were Vampires,Jason Isbell and the 400 Unit,The Nashville Sound,66,215563,2017-06-16,5,0.629,0.208,5,-16.225,1,0.0324,0.824,3.7e-06,0.107,0.685,96.609,4,country
488,Call It Dreaming,Iron & Wine,Beast Epic,60,231760,2017-08-25,6,0.519,0.515,5,-9.448,1,0.031,0.61,5.66e-05,0.107,0.714,80.329,4,country
489,Wait Up For Me,Amos Lee,Spirit,54,225146,2016-09-19,8,0.654,0.24,10,-15.692,1,0.0288,0.677,0.00649,0.0784,0.246,83.013,1,country
490,Brighter Shade of Blue,Jordan DePaul,Forces - EP,47,228787,2016-02-12,2,0.489,0.438,8,-8.748,1,0.0265,0.625,8e-05,0.122,0.188,84.984,4,country
491,Woulda Left Me Too,Ryan Griffin,Sake of the Summer,55,223880,2017-03-10,2,0.564,0.452,4,-8.588,1,0.0603,0.673,0.00105,0.0923,0.173,147.912,4,country
