,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
66,Set On Fire,MAGIC GIANT,In The Wind,53,215653,2017-05-19,3,0.229,0.871,6,-4.558,1,0.103,0.0133,2.18e-06,0.266,0.395,86.965,4,folk
67,American Dream,Cereus Bright,American Dream,48,227946,2016-06-30,1,0.705,0.504,10,-11.33,1,0.0323,0.18,0.00393,0.126,0.177,133.077,4,folk
68,Destroyer,Dead Man Winter,Destroyer,50,184868,2016-11-29,1,0.511,0.813,0,-6.78,1,0.0357,0.00549,0.00207,0.0969,0.826,121.801,4,folk
69,Rusty,Hein Cooper,The Art of Escape,48,198582,2016-04-01,2,0.87,0.572,6,-7.667,1,0.039,0.16,0.00282,0.0993,0.854,119.98,4,folk
70,Keep Your Head Up,Ben Howard,Every Kingdom,66,264546,2011-01-01,7,0.508,0.596,4,-9.034,0,0.0334,0.439,9.84e-06,0.111,0.4,79.36,4,folk
71,Tongue Tied,Grouplove,Never Trust A Happy Song,78,218013,2011-09-02,2,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,4,folk
72,Jackie and Wilson,Hozier,Hozier,15,223120,2014-10-07,3,0.555,0.727,6,-4.202,1,0.0388,0.0579,7.52e-06,0.0937,0.739,82.142,4,folk
73,Breezeblocks,alt-J,An Awesome Wave,69,227080,2012-09-18,4,0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,4,folk
74,Housebroken Man,Quiet Life,Housebroken Man,10,226368,2014-08-12,1,0.562,0.84,0,-5.621,1,0.0911,0.0832,1.7e-05,0.0947,0.609,154.612,4,folk
75,Ho Hey,The Lumineers,The Lumineers,69,163133,2012-04-03,5,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,4,folk
76,Shadow Wind,Dotan,Shadow Wind,49,240974,2016-08-05,1,0.651,0.675,5,-7.111,0,0.0544,0.238,0.000111,0.149,0.146,101.041,4,folk
77,Fool You’ve Landed,Mumford & Sons,Johannesburg,20,221099,2016-06-17,3,0.589,0.852,2,-4.839,1,0.0308,0.0388,0.000248,0.286,0.942,153.048,4,folk
78,Rhythm & Blues,The Head and the Heart,Signs of Light,60,240253,2016-09-09,3,0.433,0.863,4,-4.452,1,0.0296,0.00148,0.00107,0.351,0.54,82.998,4,folk
79,When We Were Young,Falls,When We Were Young,10,198613,2015-09-25,1,0.559,0.754,5,-4.877,1,0.0259,0.0694,7.14e-05,0.129,0.592,104.995,4,folk
80,Futures,Darlingside,Futures,47,285346,2018-02-02,1,0.348,0.479,0,-10.075,1,0.029,0.291,0.151,0.0988,0.173,97.871,4,folk
81,Two of Us on the Run,Lucius,Wildewoman,14,275628,2013-10-15,7,0.441,0.283,2,-9.092,1,0.0304,0.765,0.0348,0.076,0.225,79.664,4,folk
