,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
684,Cold War,Cautious Clay,Blood Type,43,203317,2018-02-21,6,0.636,0.556,6,-8.994,0,0.0539,0.194,0.137,0.1,0.363,77.108,4,alternative
685,Hibernate,Laura Misch,Hibernate,40,226099,2019-01-11,1,0.608,0.36,0,-12.573,1,0.039,0.735,0.852,0.0797,0.108,89.977,4,alternative
686,Queen Tings,Masego,Queen Tings,47,188053,2018-09-05,1,0.818,0.461,6,-6.475,0,0.292,0.598,0.000135,0.108,0.532,88.006,4,alternative
687,Moment,Sophie Meiers,Chrysalis,41,154838,2018-11-08,1,0.558,0.514,7,-6.368,0,0.224,0.889,1.4e-06,0.0965,0.113,122.703,4,alternative
688,No More,Andrea Valle,No More,38,186000,2019-01-10,1,0.61,0.335,2,-10.814,1,0.156,0.831,0.0,0.112,0.211,79.903,4,alternative
689,Places,Isabelle Brown,Places,38,167649,2018-11-07,1,0.657,0.406,5,-9.661,0,0.0331,0.0449,2.14e-05,0.543,0.654,84.0,4,alternative
690,Due West,Kelsey Lu,Due West,49,251573,2018-11-09,1,0.304,0.635,6,-7.261,0,0.0793,0.46,0.0,0.206,0.156,78.785,4,alternative
691,Always Wonder,Lil Silva,Always Wonder,48,223906,2018-10-11,1,0.584,0.529,3,-10.038,0,0.0416,0.724,0.0968,0.0753,0.645,142.999,4,alternative
692,Spiral (feat. WYNNE),AUGUST 08,Spiral (feat. WYNNE),37,199574,2018-11-14,1,0.494,0.464,4,-7.766,0,0.0464,0.286,3.24e-06,0.121,0.144,166.942,4,alternative
693,Free Again,Arima Ederra,Free Again,39,159650,2018-10-10,1,0.601,0.635,4,-10.057,1,0.0718,0.378,0.00113,0.0728,0.689,170.924,5,alternative
694,Planet U,Mereba,Planet U,18,201173,2018-09-28,1,0.535,0.566,6,-10.577,0,0.25,0.227,0.00422,0.116,0.34,75.978,4,alternative
695,Gimme Shelter,The Rolling Stones,Let It Bleed,22,270773,1969-12-05,1,0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65,4,alternative
696,All Along the Watchtower,Jimi Hendrix,Electric Ladyland,76,240800,1968-10-25,15,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,4,alternative
697,Fortunate Son,Creedence Clearwater Revival,Willy And The Poor Boys (40th Anniversary Edition),22,140773,1969-11-02,6,0.643,0.669,0,-7.485,1,0.0398,0.208,0.00664,0.151,0.609,132.709,4,alternative
698,All Day and All of the Night,The Kinks,Kinks (Deluxe Edition),9,142226,1964-02-02,23,0.563,0.915,7,-5.062,1,0.08,0.247,8.46e-05,0.0613,0.71,136.345,4,alternative
699,She's Not There,The Zombies,The Zombies,11,145306,1966-01-01,12,0.517,0.535,4,-8.331,0,0.0441,0.656,0.0,0.0743,0.777,132.08,4,alternative
700,The House of the Rising Sun,The Animals,The Singles Plus,71,269906,1987-10-19,3,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,3,alternative
