,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
167,Bubalu,Various Artists,Bubalu,82,228493,2018-11-06,1,0.8,0.355,6,-10.47,0,0.0895,0.616,0.0,0.118,0.253,145.929,4,latin
168,Esclavo de Tus Besos,Manuel Turizo,Esclavo de Tus Besos,87,219302,2019-02-15,1,0.805,0.671,5,-5.316,1,0.111,0.113,0.0,0.278,0.522,90.979,4,latin
169,Nadie,Farruko,Nadie,80,228760,2019-01-17,1,0.679,0.617,0,-5.328,1,0.12,0.19,0.0,0.0798,0.665,189.993,4,latin
170,Ni Gucci Ni Prada,Kenny Man,Ni Gucci Ni Prada,80,175200,2018-09-14,1,0.799,0.676,2,-5.644,1,0.169,0.41,0.000777,0.325,0.91,104.956,4,latin
171,No Es Justo,J Balvin,Vibras,77,250840,2018-05-25,5,0.684,0.811,7,-4.494,1,0.0714,0.161,0.000363,0.0871,0.721,87.866,4,latin
172,Adictiva,Daddy Yankee,Adictiva,85,207853,2018-11-09,1,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,4,latin
173,Te Robaré,Nicky Jam,Te Robaré,91,201818,2019-03-22,1,0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,4,latin
174,Solo de Mi,Bad Bunny,X 100PRE,75,197967,2018-12-23,9,0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,4,latin
175,Culpables,Manuel Turizo,Culpables,75,233929,2018-07-27,1,0.573,0.31,3,-11.134,1,0.296,0.94,5.65e-06,0.198,0.764,177.601,4,latin
176,Reggaeton,J Balvin,Reggaeton,84,158800,2018-11-17,1,0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-05,0.101,0.552,176.059,4,latin
177,Amanece,Anuel Aa,Amanece,87,190004,2018-12-14,1,0.79,0.631,8,-5.549,0,0.0425,0.437,0.0,0.158,0.889,94.039,4,latin
178,Imposible,Luis Fonsi,Imposible,80,163880,2018-10-19,1,0.786,0.764,11,-2.935,1,0.0798,0.122,0.0,0.102,0.913,90.979,4,latin
179,Baby,Amenazzy,Baby,83,235973,2018-12-21,1,0.7,0.71,11,-4.835,1,0.0532,0.327,0.0,0.129,0.582,167.971,4,latin
180,Vivir Bailando,Silvestre Dangond,Vivir Bailando,73,214413,2019-01-25,1,0.846,0.848,5,-4.752,1,0.121,0.104,0.0,0.0837,0.553,91.971,4,latin
181,Soltera,Lunay,Soltera,84,213913,2019-02-21,1,0.778,0.731,5,-4.325,1,0.0399,0.446,0.0,0.251,0.854,91.991,4,latin
182,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",87,158027,2019-02-28,1,0.541,0.468,10,-4.039,0,0.362,0.404,3.65e-06,0.358,0.69,95.266,4,latin
183,Asesina - Remix,Brytiago,Asesina (Remix),80,327466,2018-10-31,1,0.825,0.69,10,-4.252,0,0.226,0.589,0.0,0.413,0.516,94.194,4,latin
184,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,Pa Olvidarte (feat. Manuel Turizo) [Remix],83,256417,2019-02-01,1,0.724,0.791,7,-5.411,1,0.169,0.0441,6.55e-06,0.239,0.856,176.011,4,latin
185,Que Le De,Rauw Alejandro,Que Le De,83,225600,2019-01-25,1,0.77,0.75,0,-2.715,1,0.0785,0.19,0.0,0.0618,0.609,99.997,4,latin
186,Ya No Tiene Novio,Sebastian Yatra,Ya No Tiene Novio,80,198933,2018-08-10,1,0.632,0.832,7,-1.948,0,0.154,0.048,0.0,0.0705,0.784,182.184,4,latin
187,Si Estuviésemos Juntos,Bad Bunny,X 100PRE,82,169247,2018-12-23,8,0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,4,latin
188,Sola,Luis Fonsi,Sola,73,205466,2019-01-23,1,0.569,0.526,6,-6.67,0,0.359,0.506,0.0,0.0708,0.474,124.969,5,latin
189,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",89,212500,2018-09-28,1,0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,4,latin
190,"Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce] - Remix",Various Artists,Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),73,210000,2019-02-22,14,0.604,0.754,2,-4.243,1,0.119,0.274,3.53e-06,0.0947,0.28,179.836,4,latin
191,Por Perro,Sebastian Yatra,Por Perro,72,245360,2018-03-30,1,0.685,0.762,0,-5.147,1,0.0565,0.419,0.0,0.0759,0.905,172.017,4,latin
192,Está Rico,Marc Anthony,Está Rico,76,215151,2018-09-28,1,0.817,0.74,11,-4.566,0,0.283,0.266,0.0,0.0992,0.674,130.04,4,latin
193,No Te Vayas,Camilo,No Te Vayas,77,201226,2019-03-29,1,0.766,0.721,6,-4.46,0,0.0738,0.0527,0.0,0.128,0.81,92.001,4,latin
194,Luz Apaga,Ozuna,Luz Apaga,77,245000,2018-11-16,1,0.611,0.791,1,-3.558,1,0.173,0.19,3.02e-06,0.12,0.658,192.07,4,latin
195,Contra La Pared,Sean Paul,Contra La Pared,84,224680,2019-03-14,1,0.828,0.588,2,-7.14,1,0.118,0.0156,0.0,0.124,0.598,94.052,4,latin
196,Mala Mía - Remix,Maluma,Mala Mía (Remix),73,207142,2018-12-21,1,0.697,0.772,8,-5.028,0,0.309,0.1,0.0,0.418,0.858,180.046,4,latin
