,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
251,"Symphony No. 3 in G Major, WoO 34, ""Great National Symphony"" (edited by P. Spada): IV. Finale: Vivace",Muzio Clementi,Clementi: Symphonies Nos. 3 & 4,44,330466,2013-09-03,5,0.272,0.126,7,-19.434,1,0.0378,0.906,0.848,0.351,0.18,67.433,4,classical
252,Stoptime Rag,Scott Joplin,"Joplin: Piano Rags, Vol. 2",45,168586,2007-05-29,16,0.662,0.177,0,-20.476,1,0.0601,0.989,0.9,0.186,0.631,118.06,4,classical
253,"Le rouet d'Omphale, Op. 31",Camille Saint-Saëns,Neeme Järvi conducts Saint-Saëns,46,481333,2012,2,0.291,0.0156,2,-31.355,1,0.0382,0.924,0.0876,0.208,0.0566,129.44,4,classical
254,"Morgen!, Op. 27 No. 4",Richard Strauss,Strauss: Lieder,45,210800,2007-08-15,10,0.27,0.0189,7,-29.784,1,0.0489,0.984,0.00415,0.0883,0.0385,127.935,4,classical
255,"Montero: Winter (Improvisation after the second movement of Vivaldi's Violin Concerto in F Minor, Op. 8 No. 4, RV 297, ""L'inverno"")",Gabriela Montero,Baroque Improvisations,44,309573,2008-02-18,10,0.319,0.0278,3,-26.752,1,0.0379,0.995,0.896,0.0945,0.0384,67.295,3,classical
256,Suite Antique: I. Prelude,John Rutter,Rutter: Fancies,43,204266,2005-09-30,7,0.147,0.0594,9,-25.624,0,0.0442,0.849,0.626,0.101,0.13,176.139,3,classical
257,"Mélancolie, FP 105",Francis Poulenc,Francis Poulenc: Music for Piano (1918-1959),44,375360,2015-12-14,34,0.369,0.0206,1,-26.218,1,0.037,0.995,0.888,0.109,0.0374,131.913,4,classical
258,Grand Pianola Music: On the Great Divide,John Adams,Chamber Symphony/ Grand Pianola Music,44,474466,2005-11-01,6,0.18,0.249,3,-16.591,1,0.038,0.846,0.798,0.0742,0.0394,84.329,4,classical
259,"Piano Concerto No. 23 in A Major, K. 488: III. Allegro assai",Wolfgang Amadeus Mozart,Mozart: Piano Concertos Nos. 20 and 23,45,488160,1991-09-01,6,0.338,0.166,9,-20.674,1,0.0366,0.987,0.899,0.101,0.3,132.476,4,classical
260,"Scherzo a la russe (original Jazz band version, 1944)",Igor Stravinsky,Stravinsky: Histoire Du Soldat Suite - Renard,45,217720,2007-01-30,29,0.584,0.294,7,-16.759,1,0.0514,0.898,0.883,0.0544,0.193,130.018,4,classical
