,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
500,Near You,Hip Jazz Collective,Forgiving is Forgetting,54,184288,2017-03-18,3,0.391,0.0343,11,-19.342,1,0.048,0.987,0.924,0.0943,0.18,66.671,4,jazz
501,After You've Gone,Eddie Henderson,After You've Gone,56,424243,2018-04-06,1,0.382,0.158,10,-12.962,1,0.0466,0.986,0.823,0.127,0.314,46.95,4,jazz
502,Last Ride Home,Magnus Ringblom Quartet,The Gotland Session,17,194311,2016-06-16,1,0.63,0.228,7,-14.143,1,0.0401,0.921,0.94,0.124,0.0931,89.905,4,jazz
503,Inner City Drive,Ilya Mann,Halfway,55,234938,2017-03-18,2,0.698,0.155,11,-17.919,1,0.0338,0.963,0.878,0.0882,0.195,93.665,4,jazz
504,Infant Eyes,Fred Hersch Trio,Heartsongs,58,457267,2018-07-20,6,0.429,0.118,10,-19.942,0,0.039,0.898,0.569,0.298,0.172,112.864,3,jazz
505,Rasif,Amaro Freitas,Rasif,1,367211,2018-09-21,1,0.424,0.0538,0,-25.112,1,0.049,0.889,0.895,0.106,0.16,59.969,4,jazz
506,Draw Me Nearer,Joey Alexander,Eclipse,49,282386,2018-05-04,3,0.698,0.214,7,-15.785,1,0.0378,0.803,0.893,0.112,0.172,121.769,4,jazz
507,I Miss You,Emil Brandqvist Trio,Within a Dream,53,258226,2018-05-04,8,0.446,0.188,7,-17.215,0,0.0303,0.786,0.0916,0.104,0.0988,107.147,4,jazz
508,Piano Tutti Frutti,Kick Bucket,Terminal Capelinha,38,335018,2017-02-12,1,0.357,0.542,10,-8.567,1,0.0473,0.0323,0.00975,0.0791,0.589,68.848,5,jazz
509,Easy Living,Massimo Faraò Trio,How My Heart Sings,55,293253,2018-07-18,4,0.523,0.188,5,-14.701,1,0.0345,0.609,0.597,0.285,0.0744,112.092,4,jazz
510,Mantra,Amaro Freitas,Mantra,0,427113,2018-08-31,1,0.544,0.431,0,-16.34,1,0.0326,0.735,0.867,0.181,0.655,102.93,3,jazz
511,Saga of Harrison Crabfeathers,Milos Foreman,Jazz Standards,54,266668,2017-03-18,3,0.684,0.274,11,-15.921,0,0.0339,0.822,0.909,0.112,0.18,112.42,3,jazz
512,O Morro Nao Tem Vez,Antônio Carlos Jobim,"The Composer Of "" Desafinado"", Plays",53,200866,1963-01-01,5,0.664,0.233,7,-20.362,0,0.0488,0.397,0.775,0.0801,0.876,143.914,4,jazz
513,Só Danço Samba,Zimbo Trio,The Best Of Zimbo Trio,0,205453,2013-01-08,22,0.402,0.647,5,-12.533,1,0.0341,0.353,0.00124,0.284,0.792,96.064,4,jazz
514,O Som do Sol,Hermeto Pascoal & Big Band,Natureza Universal,34,456946,2017-10-20,10,0.406,0.425,7,-9.99,1,0.0417,0.772,0.154,0.0591,0.335,150.587,3,jazz
515,Kissing in the Streets,Sassy Players,Kissing in the Streets,52,212755,2017-03-18,1,0.699,0.258,9,-14.707,1,0.0314,0.911,0.869,0.337,0.163,93.683,4,jazz
516,"Menina, Amanhã de Manhã",Mônica Salmaso,Iaiá,39,329680,2004,4,0.378,0.24,3,-17.685,1,0.0652,0.876,6.34e-05,0.114,0.533,101.408,4,jazz
517,Romaria,Andy Sheppard Quartet,Romaria,53,311480,2018-02-16,3,0.38,0.054,7,-21.941,1,0.037,0.964,0.687,0.151,0.181,134.176,3,jazz
518,Under A Smiling Moon,Peter Sandberg,A Scandinavian Thing,15,263912,2015-07-01,5,0.479,0.193,0,-12.636,0,0.0351,0.859,0.737,0.331,0.153,63.895,4,jazz
519,Budapest Nights,Malcolm Schultze,Vibes,50,139290,2017-06-27,1,0.391,0.00302,9,-21.328,1,0.0389,0.995,0.944,0.115,0.586,70.614,3,jazz
520,"Orange Was the Color of Her Dress, Then Blue Silk - Edit",Charles Mingus,Jazz in Detroit / Strata Concert Gallery / 46 Selden (Edits),13,300125,2018-10-19,2,0.322,0.226,6,-15.893,1,0.0335,0.908,0.78,0.413,0.298,91.342,4,jazz
521,Night And Day,Diana Krall,Night And Day,16,278293,2017-02-17,1,0.487,0.129,5,-18.497,1,0.0297,0.877,0.0845,0.127,0.256,104.197,4,jazz
522,Baião Malandro,Hamilton De Holanda,Hamilton De Holanda,36,365893,2001,1,0.384,0.785,5,-7.823,1,0.0456,0.427,0.134,0.107,0.236,148.324,4,jazz
523,The Sweetest Nighlife,Ellie & The Bunch,Stop Look Desire,53,176271,2017-03-18,3,0.425,0.136,11,-17.382,1,0.0293,0.914,0.921,0.127,0.238,168.527,3,jazz
524,Polka Dots And Moonbeams,Chet Baker,Polka Dots and Moonbeams,59,588760,2018-07-27,1,0.476,0.19,2,-17.266,0,0.0432,0.989,0.733,0.588,0.249,109.795,4,jazz
525,Chiquitita,Donald Price Band,Donald Price Band,50,137957,2017-06-23,1,0.76,0.207,8,-14.373,1,0.033,0.748,0.85,0.135,0.284,85.257,4,jazz
526,Who Could Care,Bob Brookmeyer,Love Jumped Out,14,286066,2018-03-26,5,0.336,0.0937,0,-20.317,1,0.0414,0.972,0.0123,0.145,0.0992,90.587,4,jazz
527,Forgiving is Forgetting,Hip Jazz Collective,Forgiving is Forgetting,50,171445,2017-03-18,1,0.347,0.0274,7,-23.79,1,0.0359,0.988,0.897,0.113,0.0639,70.303,4,jazz
528,Grand Hotel,Daniel Patarava,The End Of The Road,39,228512,2017-06-27,2,0.316,0.0105,6,-22.864,1,0.0385,0.992,0.864,0.09,0.176,66.492,4,jazz
529,Uphill,Karin Hammar,Circles,54,241200,2018-10-11,9,0.427,0.0445,8,-18.994,1,0.0381,0.989,0.902,0.112,0.153,117.815,3,jazz
530,Summertime,Denis Solee,Gershwin on Sax,53,292444,2018-01-15,5,0.326,0.156,2,-14.116,0,0.0307,0.92,0.676,0.171,0.159,75.458,4,jazz
531,New York Nights,Maude De Geyndt,Maude De Geyndt,53,170495,2017-06-27,3,0.358,0.0482,11,-18.887,1,0.0452,0.994,0.941,0.109,0.366,74.878,5,jazz
532,Sweetness,Roger Kellaway,New Jazz Standards Vol 3,52,419853,2018-03-09,9,0.337,0.162,8,-18.071,1,0.0345,0.917,0.576,0.152,0.0887,82.256,3,jazz
533,Meu Balanço,Waltel Branco,Meu Balanço,34,198240,1975,3,0.657,0.869,7,-10.256,1,0.0583,0.105,0.286,0.0783,0.959,91.085,4,jazz
534,Got That Feeling,Peter Sandberg,A Scandinavian Thing,17,359936,2015-07-01,4,0.482,0.189,10,-15.645,1,0.0404,0.794,0.796,0.126,0.213,135.136,4,jazz
535,Bloco do Eu Sozinho,Edu Lobo,"Edu, Dori e Marcos",39,190893,2018-05-25,2,0.427,0.401,0,-11.283,1,0.0518,0.649,0.00403,0.13,0.346,131.207,3,jazz
536,Your Satisfaction is Mine,Ed Motta,Your Satisfaction is Mine,41,260120,2018-09-07,1,0.841,0.44,11,-9.843,0,0.0572,0.369,0.0214,0.101,0.653,119.968,4,jazz
537,Pretty Women,Connie Han,Crime Zone,55,381050,2018-10-19,4,0.515,0.184,0,-16.969,1,0.0426,0.858,0.18,0.12,0.218,122.744,3,jazz
538,Pedro Navaja,Jazz At Lincoln Center Orchestra,Una Noche Con Rubén Blades,43,491286,2018-10-19,7,0.616,0.419,11,-10.542,0,0.391,0.747,0.0,0.74,0.852,145.677,4,jazz
539,Condiciones Que Existen,Eddie Palmieri,Salsa-Jazz-Descarga,35,245666,2006-01-01,5,0.599,0.851,2,-11.757,1,0.0769,0.0319,0.831,0.106,0.916,87.57,4,jazz
540,Sunny,Negroni's Trio,Sunny,2,324066,2017-08-07,1,0.699,0.769,7,-7.076,0,0.0342,0.181,0.00362,0.48,0.426,115.021,4,jazz
541,Home Cookin',Hilton Ruiz,Enchantment,43,209173,2006-01-01,11,0.654,0.638,5,-8.999,0,0.0465,0.775,0.92,0.108,0.79,146.388,4,jazz
542,Cuchifrito,Carlos Henriquez,The Bronx Pyramid,37,454291,2015-09-18,2,0.546,0.535,7,-10.199,1,0.0561,0.571,0.846,0.108,0.649,80.789,4,jazz
543,El Cantante,Jazz At Lincoln Center Orchestra,Una Noche Con Rubén Blades,41,522080,2018-10-19,4,0.485,0.593,7,-7.69,1,0.073,0.694,0.0,0.795,0.628,75.109,4,jazz
544,Muñeca,Eddie Palmieri,Full Circle,38,598869,2018-07-20,3,0.572,0.627,0,-9.377,1,0.0715,0.421,0.0164,0.0499,0.714,90.928,4,jazz
545,Quimbara,Arturo Sandoval,Ultimate Duets,34,265173,2018-05-18,11,0.509,0.82,9,-4.087,1,0.173,0.626,1.19e-05,0.333,0.953,63.068,4,jazz
546,Desafinado,Various Artists,South American All Stars (Guapachando),30,117539,2015-07-17,24,0.526,0.328,6,-12.756,0,0.0367,0.797,0.0,0.131,0.744,83.298,4,jazz
