,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
469,The Night We Met,Lord Huron,Strange Trails,76,208211,2015-04-06,14,0.443,0.369,9,-9.514,1,0.0441,0.969,0.277,0.638,0.0989,174.107,3,seasonal
470,She's In The Rain,The Rose,Dawn,59,237576,2018-10-04,2,0.36,0.533,3,-4.394,1,0.0302,0.375,0.0,0.0768,0.421,92.854,4,seasonal
471,comethru,Jeremy Zucker,comethru,43,181520,2018-09-07,1,0.798,0.175,0,-12.603,1,0.0594,0.603,0.0,0.625,0.633,93.994,4,seasonal
472,sorry,The Rose,Void,58,215475,2018-04-16,4,0.379,0.631,10,-4.701,1,0.0339,0.462,0.0,0.305,0.359,173.896,4,seasonal
473,You and I Both,Jason Mraz,Waiting For My Rocket To Come,60,220173,2002-10-15,1,0.61,0.784,7,-7.469,1,0.0473,0.177,0.0,0.36,0.698,98.97,4,seasonal
474,You're Gonna Break My Heart Tonight,Tom Odell,You're Gonna Break My Heart Tonight,12,278765,2018-10-05,1,0.287,0.292,5,-8.32,0,0.028,0.784,0.000723,0.0879,0.142,86.736,4,seasonal
475,Collide,Tom Speight,Collide,51,187149,2018-10-05,1,0.592,0.533,4,-9.749,1,0.0338,0.617,0.0116,0.0588,0.206,96.365,4,seasonal
476,Old Friends,Ben Rector,Magic,58,224743,2018-06-22,4,0.469,0.403,8,-10.047,1,0.0483,0.132,4.71e-05,0.116,0.208,147.429,4,seasonal
477,Love Like This,Ben Rector,Magic,53,214240,2018-06-22,13,0.637,0.129,2,-11.89,1,0.0405,0.903,0.0,0.107,0.368,139.742,4,seasonal
478,I Will Always Be Yours,Ben Rector,Magic,55,226826,2018-06-22,2,0.445,0.771,0,-4.607,1,0.0501,0.133,0.0,0.273,0.448,147.913,4,seasonal
479,Drive,Ben Rector,Magic,55,197386,2018-06-22,3,0.565,0.857,2,-4.519,1,0.0384,0.0146,0.0,0.0606,0.632,126.072,4,seasonal
480,Duo,Ben Rector,Magic,52,202586,2018-06-22,5,0.708,0.698,11,-5.268,1,0.119,0.0593,0.00197,0.195,0.731,80.114,4,seasonal
481,Maybe It's Time,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),69,159293,2018-10-05,3,0.699,0.282,7,-7.65,1,0.0374,0.798,1.23e-06,0.0981,0.359,79.776,4,seasonal
482,Shallow - Radio Edit,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),82,217212,2018-10-05,6,0.575,0.33,7,-6.557,1,0.031,0.416,0.0,0.0872,0.277,95.801,4,seasonal
