,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
335,Stay (Don't Go Away) [feat. Raye],David Guetta,Stay (Don't Go Away) [feat. Raye],79,185942,2019-05-09,1,0.669,0.797,9,-5.68,0,0.0624,0.259,0.0,0.199,0.552,119.865,4,electronic
336,Tough Love,Avicii,Tough Love,84,191248,2019-05-09,1,0.402,0.754,8,-4.837,1,0.0432,0.143,0.0,0.358,0.621,108.17,4,electronic
337,Can't Take It From Me (feat. Skip Marley),Major Lazer,Can't Take It From Me (feat. Skip Marley),50,175866,2019-05-10,1,0.606,0.847,11,-6.292,1,0.0975,0.0377,7.95e-06,0.14,0.503,144.936,4,electronic
338,You Are The One,Ferreck Dawn,You Are The One,50,155122,2019-05-03,1,0.845,0.71,0,-7.704,0,0.0495,0.0404,0.0191,0.114,0.636,125.015,4,electronic
339,Alone Again,Mahalo,Alone Again,34,203740,2019-03-29,1,0.655,0.734,1,-9.709,1,0.0429,0.0369,0.585,0.232,0.206,119.979,4,electronic
340,If - Late Night Mix,eSQUIRE,If,38,257704,2019-04-12,1,0.767,0.715,4,-6.99,0,0.0371,0.0351,0.0132,0.039,0.146,122.007,4,electronic
341,I Can Feel (Fingertips),Ferdinand Weber,I Can Feel (Fingertips),39,172887,2019-04-19,1,0.81,0.901,0,-4.411,1,0.0532,0.0597,0.384,0.207,0.521,124.0,4,electronic
342,Pretty Baby,Redondo,Pretty Baby,50,173861,2019-04-29,1,0.7,0.898,8,-6.099,1,0.257,0.053,0.418,0.574,0.791,125.031,4,electronic
343,Like U Always Do,Namic,Like U Always Do,40,155021,2019-04-26,1,0.641,0.799,10,-5.223,0,0.0348,0.219,0.00131,0.0766,0.417,119.989,4,electronic
344,In The Water,Bolier,In The Water,43,171130,2018-08-17,1,0.726,0.685,6,-3.73,0,0.112,0.0438,0.0132,0.104,0.503,114.903,4,electronic
345,mind games,Ren,mind games,53,221916,2019-05-03,1,0.712,0.482,9,-6.588,0,0.031,0.46,2.1e-05,0.133,0.525,107.158,4,electronic
346,My Body Moves,Robbie Rivera,My Body Moves EP,57,226341,2019-03-22,1,0.628,0.83,10,-7.079,0,0.0312,0.0148,0.509,0.0959,0.313,123.084,4,electronic
347,Listen To Your Momma - Elliot Fitch Remix,Showtek,Listen To Your Momma (The Remixes),20,236139,2019-04-05,3,0.649,0.947,4,-4.578,0,0.0453,0.0246,0.198,0.0673,0.677,124.005,4,electronic
348,"That's Not True (feat. Damian ""Jr. Gong"" Marley)",Skip Marley,That's Not True,58,207493,2019-04-19,1,0.716,0.727,6,-5.399,0,0.0813,0.15,0.0,0.135,0.809,133.999,4,electronic
349,Imagine,Bolier,Imagine,1,170181,2017-08-25,1,0.769,0.803,4,-4.84,0,0.0466,0.0213,0.00713,0.145,0.559,109.999,4,electronic
