,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
480,Creep On Me,GASHI,Creep On Me,71,194777,2018-08-22,1,0.449,0.597,9,-4.401,0,0.14,0.347,1.03e-05,0.197,0.505,134.598,5,hip hop
481,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga),77,192779,2018-12-14,1,0.736,0.622,6,-4.653,0,0.133,0.0235,0.0,0.151,0.506,191.971,4,hip hop
482,In The Dark,YG,4REAL 4REAL,68,191813,2019-05-24,3,0.724,0.257,10,-8.136,1,0.525,0.00427,0.0166,0.105,0.0558,203.932,4,hip hop
483,MIDDLE CHILD,J. Cole,MIDDLE CHILD,91,213593,2019-01-23,1,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,4,hip hop
484,The Flute Song,Russ,ZOO,69,147600,2018-09-07,1,0.789,0.524,1,-7.942,0,0.273,0.212,0.0,0.221,0.343,138.064,4,hip hop
485,SICKO MODE,Travis Scott,ASTROWORLD,88,312820,2018-08-03,3,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,4,hip hop
486,Freaky,Tory Lanez,Freaky,83,173926,2019-03-15,1,0.966,0.563,8,-5.764,1,0.0618,0.00202,0.0,0.105,0.363,104.991,4,hip hop
487,Purple Emoji (feat. J. Cole),Ty Dolla $ign,Purple Emoji (feat. J. Cole),72,163754,2019-05-20,1,0.707,0.543,8,-4.61,1,0.279,0.151,0.0,0.384,0.824,144.18,4,hip hop
488,Suge,DaBaby,Baby On Baby,88,163320,2019-03-01,2,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,4,hip hop
489,Project Dreams,Marshmello,Project Dreams,44,167898,2018-12-07,1,0.777,0.831,8,-2.129,1,0.177,0.42,0.0,0.105,0.791,160.153,4,hip hop
490,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),Mike WiLL Made-It,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),69,273087,2018-03-29,1,0.871,0.552,4,-4.953,0,0.0509,0.128,0.0,0.272,0.27,141.973,4,hip hop
491,Noticed,Lil Mosey,Noticed,17,165000,2018-07-20,1,0.699,0.558,11,-7.622,1,0.0603,0.462,0.0,0.116,0.493,79.992,4,hip hop
492,Space Cadet (feat. Gunna),Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),82,203266,2018-11-06,5,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,4,hip hop
493,TAlk tO Me (with Rich The Kid),Tory Lanez,TAlk tO Me (with Rich The Kid),11,184489,2018-06-21,1,0.729,0.656,0,-8.56,1,0.0432,0.0613,0.0,0.0874,0.492,159.968,4,hip hop
494,BiPolar (feat. Quavo),Gucci Mane,BiPolar (feat. Quavo),69,214641,2018-11-30,1,0.747,0.569,8,-6.679,1,0.146,0.144,0.0,0.18,0.167,157.056,4,hip hop
495,MIA (feat. Drake),Bad Bunny,MIA (feat. Drake),88,210367,2018-10-11,1,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,4,hip hop
496,Make Believe,Juice WRLD,Death Race For Love,80,142025,2019-03-08,22,0.465,0.84,0,-4.35,1,0.0722,0.125,0.0,0.138,0.672,83.981,4,hip hop
497,First Off (feat. Travis Scott),Future,Future Hndrxx Presents: The WIZRD,77,228366,2019-01-18,17,0.734,0.683,1,-6.105,1,0.0776,0.013,0.0,0.28,0.445,162.038,4,hip hop
498,Look Back At It,A Boogie Wit da Hoodie,Hoodie SZN,85,179449,2018-12-21,11,0.791,0.587,3,-5.075,0,0.0413,0.407,0.0,0.148,0.536,96.057,4,hip hop
499,ROKKIT,NUGAT,UNTITLED NO.2,27,208400,2019-05-24,1,0.729,0.462,8,-11.525,0,0.0625,0.187,3.19e-05,0.106,0.482,75.008,4,hip hop
500,Crushed Up,Future,Crushed Up,41,150323,2019-01-04,1,0.782,0.599,10,-6.817,0,0.209,0.0372,0.0,0.175,0.586,157.999,4,hip hop
501,whoa (mind in awe),XXXTENTACION,SKINS,78,157776,2018-12-07,4,0.735,0.525,6,-2.939,0,0.0441,0.653,0.918,0.101,0.369,160.147,4,hip hop
502,Racks on Racks,Lil Pump,Racks on Racks,70,129777,2019-01-31,1,0.822,0.484,1,-7.166,1,0.0865,0.0311,6.22e-06,0.31,0.0934,150.061,4,hip hop
503,Mixed Personalities (feat. Kanye West),YNW Melly,We All Shine,86,230400,2019-01-18,9,0.661,0.44,2,-9.104,1,0.0803,0.457,0.0,0.128,0.352,149.937,4,hip hop
504,Audemars (feat. Nasty C),mishlawi,Audemars (feat. Nasty C),48,208854,2019-02-04,1,0.697,0.58,1,-6.081,1,0.346,0.383,0.0,0.116,0.498,159.909,4,hip hop
505,Old Town Road - Remix,Lil Nas X,Old Town Road,98,157066,2019-04-05,1,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,4,hip hop
506,Price On My Head (feat. The Weeknd),NAV,Bad Habits,12,217775,2019-03-22,7,0.772,0.578,6,-6.15,0,0.132,0.35,3.54e-06,0.311,0.28,74.982,4,hip hop
507,La La Land (feat. YG),Bryce Vine,La La Land (feat. YG),74,177117,2019-03-01,1,0.781,0.469,1,-5.107,0,0.0569,0.223,0.0,0.19,0.412,98.013,4,hip hop
508,Fashion Week (feat. AJ Tracey & MoStack),Steel Banglez,Fashion Week (feat. AJ Tracey & MoStack),77,201998,2019-03-21,1,0.694,0.757,11,-6.899,0,0.167,0.272,0.000161,0.0995,0.703,97.167,4,hip hop
509,"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,"Thotiana (feat. Cardi B, YG) [Remix]",76,297546,2019-02-18,1,0.911,0.721,10,-4.833,0,0.28,0.0364,0.0,0.111,0.69,104.11,4,hip hop
